title,tier,level,image
University of Utah School of Computing,Host,1,affiliate_data/SponsorLogos/UofUSOCCropped.png
Westminster College,Elite,2,affiliate_data/SponsorLogos/Elite3000+/blue-wc-logo-horizontal.jpg
HP,Elite,2,affiliate_data/SponsorLogos/Elite3000+/HP.png
Utah State University,Elite,2,affiliate_data/SponsorLogos/Elite3000+/Utah-State-Aggies-logo.jpg
Hill Air Force Base,Platinum,3,affiliate_data/SponsorLogos/Platinum2000-2999/hill-afb-logo.jpg
Imagine Learning,Gold,4,affiliate_data/SponsorLogos/Gold1000-1999/IL-logo-full-mark-C.png
Lucid Education,Gold,4,affiliate_data/SponsorLogos/Gold1000-1999/2022LucidEduStacker.png
Market Dial,Gold,4,affiliate_data/SponsorLogos/Gold1000-1999/MarketDial_horiz_color_lg.png
Qualtrics,Silver,5,affiliate_data/SponsorLogos/Silver500-999/qualtrics.png
SCI Utah,Silver,5,affiliate_data/SponsorLogos/Silver500-999/SCI-logo-transparent-black-med.png
Nvidia,Bronze,6,affiliate_data/SponsorLogos/Bronze500-/nvidiaLogo.jpg
Oracle Academy,Bronze,6,affiliate_data/SponsorLogos/Bronze500-/oracle_academy.png
Utah Film Center,Bronze,6,affiliate_data/SponsorLogos/Bronze500-/UTFClogo_05012017_blue_300x375.jpg
Utah STEM Action Center,Bronze,6,affiliate_data/SponsorLogos/Bronze500-/utah-stem-action-center.png
Certiport,Bronze,6,affiliate_data/SponsorLogos/Bronze500-/Certiport_20_jpg.jpg
Jack Nadel,Bronze,6,affiliate_data/SponsorLogos/Bronze500-/jack_nadel.png
Derivita,Bronze,6,affiliate_data/SponsorLogos/Bronze500-/DerivitaLogo.png
L3Harris,Bronze,6,affiliate_data/SponsorLogos/Bronze500-/L3Harris_logo_tag_tm_rgb.jpg
